File,event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,gps:hdop,gps:satellite-count,gps-time-to-fix,gps:vdop,ground-speed,heading,height-above-ellipsoid,height-raw,location-error-text,manually-marked-outlier,raptor-workshop:migration-state,vertical-error-numerical,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
disney.csv,2165456861,TRUE,2005-02-05,-82.38133,32.15217,,,,,,,,,,,,NonBreedingGrounds,,gps,Cathartes aura,52069,Disney,Vultures Acopian Center USA 2003-2016
disney.csv,2165456877,TRUE,2005-02-06,-82.3815,32.15217,,,,,,,,,,,,NonBreedingGrounds,,gps,Cathartes aura,52069,Disney,Vultures Acopian Center USA 2003-2016
disney.csv,2165456895,TRUE,2005-02-08,-82.38133,32.152,,,,,,,,,,,,NonBreedingGrounds,,gps,Cathartes aura,52069,Disney,Vultures Acopian Center USA 2003-2016
disney.csv,2165456911,TRUE,2005-02-09,-82.3815,32.15217,,,,,,,,,,,,NonBreedingGrounds,,gps,Cathartes aura,52069,Disney,Vultures Acopian Center USA 2003-2016
disney.csv,2165456927,TRUE,2005-02-10,-82.38117,32.1495,,,,,,,,,,,,NonBreedingGrounds,,gps,Cathartes aura,52069,Disney,Vultures Acopian Center USA 2003-2016
disney.csv,2165456943,TRUE,2005-02-11,-82.3815,32.15217,,,,,,,,,,,,NonBreedingGrounds,,gps,Cathartes aura,52069,Disney,Vultures Acopian Center USA 2003-2016
disney.csv,2165456965,TRUE,2005-02-14,-82.38133,32.15217,,,,,,,,,,,,NonBreedingGrounds,,gps,Cathartes aura,52069,Disney,Vultures Acopian Center USA 2003-2016
disney.csv,2165456981,TRUE,2005-02-15,-82.3815,32.15217,,,,,,,,,,,,NonBreedingGrounds,,gps,Cathartes aura,52069,Disney,Vultures Acopian Center USA 2003-2016
disney.csv,2165456989,TRUE,2005-02-17,-82.38133,32.152,,,,,,,,,,,,NonBreedingGrounds,,gps,Cathartes aura,52069,Disney,Vultures Acopian Center USA 2003-2016
disney.csv,2165457001,TRUE,2005-02-18,-82.38117,32.152,,,,,,,,,,,,NonBreedingGrounds,,gps,Cathartes aura,52069,Disney,Vultures Acopian Center USA 2003-2016
disney.csv,2165457014,TRUE,2005-02-19,-82.38967,32.16233,,,,,,,,,,,,NonBreedingGrounds,,gps,Cathartes aura,52069,Disney,Vultures Acopian Center USA 2003-2016
disney.csv,2165457029,TRUE,2005-02-20,-81.937,32.11617,,,,,,,,,,,,NonBreedingGrounds,,gps,Cathartes aura,52069,Disney,Vultures Acopian Center USA 2003-2016
disney.csv,2165457045,TRUE,2005-02-21,-82.109,31.94383,,,,,,,,,,,,NonBreedingGrounds,,gps,Cathartes aura,52069,Disney,Vultures Acopian Center USA 2003-2016
disney.csv,2165457060,TRUE,2005-02-22,-82.04017,31.94333,,,,,,,,,,,,NonBreedingGrounds,,gps,Cathartes aura,52069,Disney,Vultures Acopian Center USA 2003-2016
disney.csv,2165457076,TRUE,2005-02-23,-82.39683,32.1995,,,,,,,,,,,,NonBreedingGrounds,,gps,Cathartes aura,52069,Disney,Vultures Acopian Center USA 2003-2016
disney.csv,2165457092,TRUE,2005-02-24,-82.3945,32.19283,,,,,,,,,,,,NonBreedingGrounds,,gps,Cathartes aura,52069,Disney,Vultures Acopian Center USA 2003-2016
